variable,level,autopsy,deaths,prop
sex_lbl,Female,No,1218853,0.9056878707897896
sex_lbl,Female,Unknown,56947,0.04231536303218366
sex_lbl,Female,Yes,69976,0.051996766178026656
sex_lbl,Male,No,1193693,0.8501554033650313
sex_lbl,Male,Unknown,53976,0.038442034972166986
sex_lbl,Male,Yes,156419,0.11140256166280176
age_grp,1,No,14857,0.6393957651919435
age_grp,1,Unknown,982,0.0422620072301601
age_grp,1,Yes,7397,0.3183422275778964
age_grp,10,No,598647,0.9387404678907283
age_grp,10,Unknown,28345,0.044447894272188274
age_grp,10,Yes,10721,0.016811637837083452
age_grp,11,No,814573,0.9528406611852532
age_grp,11,Unknown,34550,0.04041460353332421
age_grp,11,Yes,5766,0.006744735281422501
age_grp,12,No,118,0.30412371134020616
age_grp,12,Unknown,13,0.03350515463917526
age_grp,12,Yes,257,0.6623711340206185
age_grp,2,No,1743,0.4284660766961652
age_grp,2,Unknown,64,0.015732546705998034
age_grp,2,Yes,2261,0.5558013765978368
age_grp,3,No,3058,0.5516868121955619
age_grp,3,Unknown,116,0.020927295688255458
age_grp,3,Yes,2369,0.42738589211618255
age_grp,4,No,11837,0.3612145254806225
age_grp,4,Unknown,405,0.01235886481537992
age_grp,4,Yes,20528,0.62642660970399755
age_grp,5,No,22610,0.39019760117352664
age_grp,5,Unknown,898,0.01549745448269911
age_grp,5,Yes,34437,0.5943049443437742
age_grp,6,No,42138,0.5388077641101706
age_grp,6,Unknown,1979,0.025304963813518145
age_grp,6,Yes,34089,0.4358872720763113
age_grp,7,No,124877,0.7168517008989563
age_grp,7,Unknown,5919,0.03397779589212523
age_grp,7,Yes,43406,0.24917050320891837
age_grp,8,No,310007,0.8432627547412058
age_grp,8,Unknown,14755,0.04013568063368405
age_grp,8,Yes,42866,0.11660156462511016
age_grp,9,No,468081,0.9119479578238608
age_grp,9,Unknown,22897,0.044609527817392594
age_grp,9,Yes,22298,0.04344251435874656
race5_lbl,White,No,2062754,0.8863113235800248
race5_lbl,White,Unknown,90620,0.03893703861091621
race5_lbl,White,Yes,173973,0.07475163780905898
race5_lbl,Black,No,270369,0.8131276221410204
race5_lbl,Black,Unknown,18059,0.05431196523360551
race5_lbl,Black,Yes,44077,0.13256041262537405
race5_lbl,AI/AN,No,16220,0.8224318020484738
race5_lbl,AI/AN,Unknown,522,0.026467903863705507
race5_lbl,AI/AN,Yes,2980,0.15110029408782072
race5_lbl,Asian/PI,No,63203,0.899174847062171
race5_lbl,Asian/PI,Unknown,1722,0.024498506188647035
race5_lbl,Asian/PI,Yes,5365,0.07632664674918196
hisp_lbl,Mexican,No,89626,0.8540608532413452
hisp_lbl,Mexican,Unknown,608,0.005793731715916563
hisp_lbl,Mexican,Yes,14707,0.1401454150427383
hisp_lbl,Puerto Rican,No,19520,0.8135028130860597
hisp_lbl,Puerto Rican,Unknown,829,0.03454886434673891
hisp_lbl,Puerto Rican,Yes,3646,0.1519483225672015
hisp_lbl,Cuban,No,14854,0.8959527112612341
hisp_lbl,Cuban,Unknown,613,0.03697448579528319
hisp_lbl,Cuban,Yes,1112,0.06707280294348272
hisp_lbl,Cen/South Am,No,15095,0.8176696820323927
hisp_lbl,Cen/South Am,Unknown,509,0.027571637506093927
hisp_lbl,Cen/South Am,Yes,2857,0.15475868046151345
hisp_lbl,Other/Unk Hispanic,No,20825,0.807702749873948
hisp_lbl,Other/Unk Hispanic,Unknown,959,0.03719505100259861
hisp_lbl,Other/Unk Hispanic,Yes,3999,0.15510219912345344
hisp_lbl,NH White,No,1901370,0.8902036723002488
hisp_lbl,NH White,Unknown,87010,0.04073726919371014
hisp_lbl,NH White,Yes,147502,0.06905905850604106
hisp_lbl,NH Black,No,266617,0.8143563146770272
hisp_lbl,NH Black,Unknown,17859,0.05454862001979254
hisp_lbl,NH Black,Yes,42920,0.13109506530318024
hisp_lbl,NH Other Race,No,77453,0.8856022319284685
hisp_lbl,NH Other Race,Unknown,2166,0.02476617347755494
hisp_lbl,NH Other Race,Yes,7839,0.08963159459397654
hisp_lbl,Hisp Unknown,No,7186,0.7669975450955278
hisp_lbl,Hisp Unknown,Unknown,370,0.039491941509232575
hisp_lbl,Hisp Unknown,Yes,1813,0.19351051339523961
