garbage,target,icd10_codes
I64,I60,I60
I64,I61,I61
I64,I62,I62
I64,I63,I63
C80,C33,C33
C80,C34,C34
C80,C22,C22
C80,C50,C50
C80,C15,C15
C80,C16,C16
C80,C17,C17
C80,C18,C18
C80,C19,C19
C80,C20,C20
C80,C21,C21
C80,C23,C23
C80,C24,C24
C80,C25,C25
C80,C26,C26
C80,C81,C81
C80,C82,C82
C80,C83,C83
C80,C84,C84
C80,C85,C85
C80,C86,C86
C80,C88,C88
C80,C90,C90
C80,C91,C91
C80,C92,C92
C80,C93,C93
C80,C94,C94
C80,C95,C95
C80,C96,C96
C80,C00,C00
C80,C01,C01
C80,C02,C02
C80,C03,C03
C80,C04,C04
C80,C05,C05
C80,C06,C06
C80,C07,C07
C80,C08,C08
C80,C09,C09
C80,C10,C10
C80,C11,C11
C80,C12,C12
C80,C13,C13
C80,C14,C14
C80,C27,C27
C80,C28,C28
C80,C29,C29
C80,C30,C30
C80,C31,C31
C80,C32,C32
C80,C35,C35
C80,C36,C36
C80,C37,C37
C80,C38,C38
C80,C39,C39
C80,C40,C40
C80,C41,C41
C80,C42,C42
C80,C43,C43
C80,C44,C44
C80,C45,C45
C80,C46,C46
C80,C47,C47
C80,C48,C48
C80,C49,C49
C80,C51,C51
C80,C52,C52
C80,C53,C53
C80,C54,C54
C80,C55,C55
C80,C56,C56
C80,C57,C57
C80,C58,C58
C80,C59,C59
C80,C60,C60
C80,C61,C61
C80,C62,C62
C80,C63,C63
C80,C64,C64
C80,C65,C65
C80,C66,C66
C80,C67,C67
C80,C68,C68
C80,C69,C69
C80,C70,C70
C80,C71,C71
C80,C72,C72
C80,C73,C73
C80,C74,C74
C80,C75,C75
C80,C76,C76
C80,C77,C77
C80,C78,C78
C80,C79,C79
C80,C87,C87
C80,C89,C89
C97,C33,C33
C97,C34,C34
C97,C22,C22
C97,C50,C50
C97,C15,C15
C97,C16,C16
C97,C17,C17
C97,C18,C18
C97,C19,C19
C97,C20,C20
C97,C21,C21
C97,C23,C23
C97,C24,C24
C97,C25,C25
C97,C26,C26
C97,C81,C81
C97,C82,C82
C97,C83,C83
C97,C84,C84
C97,C85,C85
C97,C86,C86
C97,C88,C88
C97,C90,C90
C97,C91,C91
C97,C92,C92
C97,C93,C93
C97,C94,C94
C97,C95,C95
C97,C96,C96
C97,C00,C00
C97,C01,C01
C97,C02,C02
C97,C03,C03
C97,C04,C04
C97,C05,C05
C97,C06,C06
C97,C07,C07
C97,C08,C08
C97,C09,C09
C97,C10,C10
C97,C11,C11
C97,C12,C12
C97,C13,C13
C97,C14,C14
C97,C27,C27
C97,C28,C28
C97,C29,C29
C97,C30,C30
C97,C31,C31
C97,C32,C32
C97,C35,C35
C97,C36,C36
C97,C37,C37
C97,C38,C38
C97,C39,C39
C97,C40,C40
C97,C41,C41
C97,C42,C42
C97,C43,C43
C97,C44,C44
C97,C45,C45
C97,C46,C46
C97,C47,C47
C97,C48,C48
C97,C49,C49
C97,C51,C51
C97,C52,C52
C97,C53,C53
C97,C54,C54
C97,C55,C55
C97,C56,C56
C97,C57,C57
C97,C58,C58
C97,C59,C59
C97,C60,C60
C97,C61,C61
C97,C62,C62
C97,C63,C63
C97,C64,C64
C97,C65,C65
C97,C66,C66
C97,C67,C67
C97,C68,C68
C97,C69,C69
C97,C70,C70
C97,C71,C71
C97,C72,C72
C97,C73,C73
C97,C74,C74
C97,C75,C75
C97,C76,C76
C97,C77,C77
C97,C78,C78
C97,C79,C79
C97,C87,C87
C97,C89,C89
C55,C53,C53
C55,C54,C54
I10,E10,E10
I10,E11,E11
I10,E12,E12
I10,E13,E13
I10,E14,E14
I10,I20,I20
I10,I21,I21
I10,I22,I22
I10,I23,I23
I10,I24,I24
I10,I25,I25
I10,I60,I60
I10,I61,I61
I10,I62,I62
I10,I63,I63
I10,I64,I64
I10,I65,I65
I10,I66,I66
I10,I67,I67
I10,I68,I68
I10,I69,I69
I10,I70,I70
I10,I71,I71
I10,I72,I72
I10,I73,I73
I10,I74,I74
I10,I75,I75
I10,I76,I76
I10,I77,I77
I10,I78,I78
I10,I79,I79
I10,I80,I80
I10,I81,I81
I10,I82,I82
I10,I83,I83
I10,I84,I84
I10,I85,I85
I10,I86,I86
I10,I87,I87
I10,I88,I88
I10,I89,I89
I10,I90,I90
I10,I91,I91
I10,I92,I92
I10,I93,I93
I10,I94,I94
I10,I95,I95
I10,I96,I96
I10,I97,I97
I10,I98,I98
I10,I99,I99
I10,J40,J40
I10,J41,J41
I10,J42,J42
I10,J43,J43
I10,J44,J44
I10,J45,J45
I10,J46,J46
I10,J47,J47
I10,K70,K70
I10,K73,K73
I10,K74,K74
I10,N17,N17
I10,N18,N18
N19,E10,E10
N19,E11,E11
N19,E12,E12
N19,E13,E13
N19,E14,E14
N19,I20,I20
N19,I21,I21
N19,I22,I22
N19,I23,I23
N19,I24,I24
N19,I25,I25
N19,I60,I60
N19,I61,I61
N19,I62,I62
N19,I63,I63
N19,I64,I64
N19,I65,I65
N19,I66,I66
N19,I67,I67
N19,I68,I68
N19,I69,I69
N19,I70,I70
N19,I71,I71
N19,I72,I72
N19,I73,I73
N19,I74,I74
N19,I75,I75
N19,I76,I76
N19,I77,I77
N19,I78,I78
N19,I79,I79
N19,I80,I80
N19,I81,I81
N19,I82,I82
N19,I83,I83
N19,I84,I84
N19,I85,I85
N19,I86,I86
N19,I87,I87
N19,I88,I88
N19,I89,I89
N19,I90,I90
N19,I91,I91
N19,I92,I92
N19,I93,I93
N19,I94,I94
N19,I95,I95
N19,I96,I96
N19,I97,I97
N19,I98,I98
N19,I99,I99
N19,J40,J40
N19,J41,J41
N19,J42,J42
N19,J43,J43
N19,J44,J44
N19,J45,J45
N19,J46,J46
N19,J47,J47
N19,K70,K70
N19,K73,K73
N19,K74,K74
N19,N17,N17
N19,N18,N18
Y12,X40,X40
Y12,X41,X41
Y12,X42,X42
Y12,X43,X43
Y12,X44,X44
Y12,X45,X45
Y12,X46,X46
Y12,X47,X47
Y12,X48,X48
Y12,X49,X49
Y12,X60,X60
Y12,X61,X61
Y12,X62,X62
Y12,X63,X63
Y12,X64,X64
Y12,X65,X65
Y12,X66,X66
Y12,X67,X67
Y12,X68,X68
Y12,X69,X69
Y12,X70,X70
Y12,X71,X71
Y12,X72,X72
Y12,X73,X73
Y12,X74,X74
Y12,X75,X75
Y12,X76,X76
Y12,X77,X77
Y12,X78,X78
Y12,X79,X79
Y12,X80,X80
Y12,X81,X81
Y12,X82,X82
Y12,X83,X83
Y12,X84,X84
Y12,X85,X85
Y12,X86,X86
Y12,X87,X87
Y12,X88,X88
Y12,X89,X89
Y12,X90,X90
Y12,X91,X91
Y12,X92,X92
Y12,X93,X93
Y12,X94,X94
Y12,X95,X95
Y12,X96,X96
Y12,X97,X97
Y12,X98,X98
Y12,X99,X99
Y12,Y00,Y00
Y12,Y01,Y01
Y12,Y02,Y02
Y12,Y03,Y03
Y12,Y04,Y04
Y12,Y05,Y05
Y12,Y06,Y06
Y12,Y07,Y07
Y12,Y08,Y08
Y12,Y09,Y09
J80,J9,J9
J80,J10,J10
J80,J11,J11
J80,J12,J12
J80,J13,J13
J80,J14,J14
J80,J15,J15
J80,J16,J16
J80,J17,J17
J80,J18,J18
J80,J40,J40
J80,J41,J41
J80,J42,J42
J80,J43,J43
J80,J44,J44
J80,J45,J45
J80,J46,J46
J80,J47,J47
J80,A40,A40
J80,A41,A41
