demog,group,year,n_deaths,garbage,prop_garbage
sex,1,1999,51483,4592,0.08919449138550589
sex,2,1999,48529,5357,0.11038760328875517
racer3,1,1999,83962,8112,0.09661513541840357
racer3,3,1999,13480,1590,0.11795252225519288
racer3,2,1999,2570,247,0.09610894941634242
ager52,33,1999,1743,207,0.11876075731497418
ager52,43,1999,12727,1507,0.11840968020743302
ager52,42,1999,14516,1561,0.1075365114356572
ager52,36,1999,3790,310,0.08179419525065963
ager52,41,1999,14101,1322,0.09375221615488263
ager52,39,1999,8346,646,0.07740234843038582
ager52,37,1999,4781,346,0.07236979711357457
ager52,40,1999,11294,939,0.08314149105719851
ager52,45,1999,2805,372,0.13262032085561498
ager52,44,1999,7794,1026,0.13163972286374134
ager52,35,1999,3067,282,0.09194652755135312
ager52,32,1999,1181,160,0.13547840812870449
ager52,34,1999,2487,287,0.11540008041817451
ager52,38,1999,6112,507,0.08295157068062828
ager52,29,1999,742,45,0.06064690026954178
ager52,46,1999,542,63,0.11623616236162361
ager52,27,1999,166,7,0.04216867469879518
ager52,13,1999,81,12,0.14814814814814814
ager52,28,1999,209,19,0.09090909090909091
ager52,30,1999,941,83,0.08820403825717323
ager52,31,1999,951,115,0.12092534174553102
ager52,11,1999,47,0,0
ager52,47,1999,68,10,0.14705882352941177
ager52,14,1999,66,6,0.09090909090909091
ager52,17,1999,34,6,0.17647058823529413
ager52,25,1999,48,4,0.08333333333333333
ager52,24,1999,88,9,0.10227272727272728
ager52,23,1999,101,18,0.1782178217821782
ager52,21,1999,17,3,0.17647058823529413
ager52,9,1999,77,2,0.025974025974025976
ager52,18,1999,28,3,0.10714285714285714
ager52,15,1999,46,8,0.17391304347826086
ager52,2,1999,294,1,0.003401360544217687
ager52,1,1999,170,1,0.0058823529411764705
ager52,12,1999,160,31,0.19375
ager52,48,1999,8,2,0.25
ager52,16,1999,24,1,0.041666666666666664
ager52,3,1999,54,2,0.037037037037037035
ager52,26,1999,49,4,0.08163265306122448
ager52,22,1999,11,0,0
ager52,19,1999,17,1,0.058823529411764705
ager52,5,1999,30,0,0
ager52,4,1999,38,1,0.02631578947368421
ager52,10,1999,57,2,0.03508771929824561
ager52,8,1999,14,1,0.07142857142857142
ager52,6,1999,23,1,0.043478260869565216
ager52,7,1999,16,1,0.0625
ager52,20,1999,8,0,0
ager52,52,1999,42,15,0.35714285714285715
ager52,49,1999,1,0,0
education,1,1999,23768,2549,0.10724503534163582
education,4,1999,13221,1234,0.09333635882308448
education,3,1999,34372,3349,0.09743395787268708
education,2,1999,14143,1416,0.10012020080605247
education,5,1999,11401,1054,0.0924480308744847
education,6,1999,3107,347,0.11168329578371419
marstat,4,1999,11400,1124,0.09859649122807018
marstat,2,1999,42042,3691,0.08779315922173066
marstat,3,1999,36071,4071,0.11286074686035874
marstat,1,1999,10120,1008,0.09960474308300395
marstat,9,1999,379,55,0.14511873350923482
weekday,6,1999,14745,1430,0.09698202780603594
weekday,2,1999,14397,1509,0.10481350281308606
weekday,1,1999,14361,1447,0.10075900006963304
weekday,7,1999,14469,1418,0.09800262630451309
weekday,4,1999,13970,1412,0.10107372942018611
weekday,3,1999,13993,1408,0.10062173944114915
weekday,5,1999,14077,1325,0.09412516871492506
placdth,2,1999,7730,545,0.0705045278137128
placdth,6,1999,25300,2616,0.103399209486166
placdth,1,1999,39446,3644,0.09237945545809462
placdth,5,1999,20471,2460,0.12016999658052856
placdth,7,1999,6159,602,0.09774314012014937
placdth,3,1999,625,49,0.0784
placdth,4,1999,194,24,0.12371134020618557
placdth,9,1999,87,9,0.10344827586206896
has_secondary,FALSE,1999,100012,9949,0.0994780626324841
