demog,group,n_deaths,garbage,prop_garbage
sex,F,1346076,110571,0.08214320736719175
sex,M,1404341,114081,0.0812345434620224
racer5,3,19725,1742,0.08831432192648923
racer5,2,332571,29347,0.08824281130946475
racer5,1,2327820,188295,0.08088898626182436
racer5,4,70301,5268,0.07493492268957767
ager52,52,388,214,0.5515463917525774
ager52,49,3,1,0.3333333333333333
ager52,31,27185,8134,0.2992091226779474
ager52,32,30764,9059,0.2944675594851125
ager52,33,35461,8885,0.25055694988861005
ager52,30,21888,5043,0.2304002192982456
ager52,17,482,99,0.2053941908713693
ager52,15,848,170,0.20047169811320756
ager52,14,1075,212,0.1972093023255814
ager52,18,389,72,0.18508997429305912
ager52,34,42765,7875,0.18414591371448616
ager52,21,211,38,0.18009478672985782
ager52,16,645,115,0.17829457364341086
ager52,13,1455,259,0.17800687285223368
ager52,20,240,39,0.1625
ager52,12,2061,315,0.15283842794759825
ager52,23,1572,236,0.15012722646310434
ager52,35,65891,9601,0.14571033980361506
ager52,48,91,13,0.14285714285714285
ager52,22,189,27,0.14285714285714285
ager52,47,2143,252,0.11759216052263183
ager52,19,306,35,0.11437908496732026
ager52,36,108346,12189,0.11250069222675503
ager52,24,1055,113,0.10710900473933649
ager52,29,10882,1139,0.10466825951111929
ager52,11,645,64,0.09922480620155039
ager52,46,25608,2369,0.09251015307716338
ager52,25,792,71,0.08964646464646464
ager52,37,162712,14432,0.08869659275283938
ager52,45,131422,10104,0.07688210497481396
ager52,38,204994,14694,0.07168014673600202
ager52,44,310949,22131,0.07117244306944226
ager52,43,384815,25593,0.06650728272026818
ager52,42,342455,21418,0.06254252383524843
ager52,39,247335,15329,0.061976671316231025
ager52,26,649,40,0.061633281972265024
ager52,41,295412,17987,0.060887844772724194
ager52,40,266060,15808,0.059415169510636696
ager52,28,3036,167,0.055006587615283264
ager52,27,2507,125,0.0498603909054647
ager52,10,882,34,0.03854875283446712
ager52,9,1405,46,0.032740213523131674
ager52,7,313,9,0.02875399361022364
ager52,5,457,9,0.019693654266958426
ager52,8,273,5,0.018315018315018316
ager52,6,373,5,0.013404825737265416
ager52,3,1011,12,0.011869436201780416
ager52,1,3399,31,0.009120329508679022
ager52,4,763,5,0.00655307994757536
ager52,2,5815,29,0.004987102321582115
education,NA,21999,2588,0.11764171098686303
education,9,51283,5217,0.10172961800206697
education,2,292381,26417,0.09035128821640256
education,4,335467,28489,0.0849234052827849
education,3,1149586,96909,0.0842990433077647
education,5,167415,13457,0.08038108891079054
education,1,290689,21075,0.072500163404876
education,6,279992,20018,0.07149489985428155
education,7,113843,7435,0.06530924167493829
education,8,47762,3047,0.06379548595117457
marstat,S,371364,50807,0.13681186113893645
marstat,U,21805,2807,0.1287319422150883
marstat,D,435945,38574,0.08848363899115715
marstat,W,911272,64797,0.07110610223950697
marstat,M,1010031,67667,0.06699497342160785
weekday,9,135,19,0.14074074074074075
weekday,7,402099,33588,0.08353166757440332
weekday,6,402870,33309,0.08267927619331297
weekday,1,386483,31809,0.08230374945340416
weekday,5,389939,31707,0.08131271814309418
weekday,4,389386,31626,0.08122017740750823
weekday,3,388396,31247,0.08045139496802232
weekday,2,391109,31347,0.08014901216796341
placdth,3,12018,1797,0.14952571143285073
placdth,7,170451,21283,0.124862863814234
placdth,9,544,65,0.11948529411764706
placdth,2,178119,17895,0.10046654203088946
placdth,4,836659,74889,0.08950958514759298
placdth,1,809996,57521,0.07101393093299226
placdth,5,212628,15012,0.0706021784525086
placdth,6,530002,36190,0.06828276119712756
has_secondary,TRUE,2750417,224652,0.08167925081905762
