year,sex,mean_prop_good_detail
1999,F,16.6020074119827
1999,M,20.007159142726874
2000,F,16.89398767792648
2000,M,20.049737532808408
2001,F,18.12671974522292
2001,M,20.84094020994979
2002,F,18.689028373137386
2002,M,21.504683318465663
2003,F,19.77224958949097
2003,M,22.527842872164655
2004,F,20.607478243270595
2004,M,23.57122564331398
2005,F,21.495096269554743
2005,M,24.613601036269404
2006,F,22.485769004124933
2006,M,26.501614538082794
2007,F,23.016020747700132
2007,M,27.143550724637656
2008,F,24.046897846275446
2008,M,27.850390236980296
2009,F,23.845341733486084
2009,M,28.825747629467536
2010,F,26.18108108108107
2010,M,29.170984751318212
2011,F,27.386519190773278
2011,M,30.384858066329453
2012,F,28.562044495588808
2012,M,30.772758718057343
2013,F,29.79120184013802
2013,M,31.63919254658384
2014,F,30.294780677401462
2014,M,33.50895989974939
2015,F,31.306457765667577
2015,M,36.04788702928867
2016,F,33.637142857142855
2016,M,38.98783197831974
2017,F,35.48924789086337
2017,M,41.52448104995311
2018,F,214.97920424403162
2018,M,280.34815035011263
2019,F,214.0211458333331
2019,M,288.3786059892762
2020,F,231.24129098360652
2020,M,324.9437917308681
2021,F,615.9337515683819
2021,M,873.9805266477447
2022,F,245.8360947712417
2022,M,339.4688403179185
2023,F,240.16298364902107
2023,M,336.49074619538527
